Order_ID,SKU,Product_Name,Warehouse_ID,Warehouse_Name,Warehouse_City,Order_Created_At,Order_Quantity,Order_Priority,Inventory_Available,Quantity_Allocated,Quantity_Picked,Damaged_Items,Packing_Status,Picking_Start,Picking_End,Packing_Start,Packing_End,Processing_Time_Minutes,Dispatch_Status,Carrier,Dispatch_At,Estimated_Delivery,Total_Inventory_On_Hand,Total_Reserved,Total_Available,Avg_Daily_Demand_Units,Total_120_Day_Demand
ORD0001,SKU008,Desk Lamp,WH002,Vijayawada Hub,Vijayawada,2026-05-19 04:00,12,Low,Yes,12,12,1,Packed,2026-05-19 10:00,2026-05-19 10:35,2026-05-19 10:53,2026-05-19 11:12,72,Dispatched,Delhivery,2026-05-21 19:00,2026-05-22 19:00,602,65,537,15.39,1847
ORD0002,SKU011,USB Keyboard,WH001,Hyderabad Central,Hyderabad,2026-01-16 12:00,12,Medium,No,3,3,0,Packed,2026-01-16 16:00,2026-01-16 16:12,2026-01-16 16:31,2026-01-16 17:01,61,Dispatched,DTDC,2026-01-19 07:00,2026-01-24 07:00,687,84,603,15.16,1819
ORD0003,SKU002,Mechanical Keyboard,WH001,Hyderabad Central,Hyderabad,2026-06-16 17:00,1,Low,No,0,0,0,Pending,2026-06-16 21:00,2026-06-16 21:33,2026-06-16 21:39,2026-06-16 21:49,49,Pending,Ecom Express,,,386,63,323,15.01,1801
ORD0004,SKU007,Power Bank 20000mAh,WH001,Hyderabad Central,Hyderabad,2026-04-10 08:00,8,Medium,Yes,8,8,0,Packed,2026-04-10 14:00,2026-04-10 14:11,2026-04-10 14:17,2026-04-10 14:40,40,Dispatched,XpressBees,2026-04-10 23:00,2026-04-14 23:00,572,93,479,15.69,1883
ORD0005,SKU009,Monitor 24 Inch,WH005,Bengaluru Tech,Bengaluru,2026-02-10 01:00,9,High,No,1,1,0,Packed,2026-02-10 02:00,2026-02-10 02:47,2026-02-10 02:54,2026-02-10 03:12,72,Dispatched,XpressBees,2026-02-11 16:00,2026-02-16 16:00,486,115,371,15.62,1874
ORD0006,SKU010,External SSD 1TB,WH005,Bengaluru Tech,Bengaluru,2026-03-22 08:00,4,Medium,Yes,4,4,2,Packed,2026-03-22 10:00,2026-03-22 10:08,2026-03-22 10:27,2026-03-22 10:51,51,Dispatched,Ecom Express,2026-03-24 08:00,2026-03-29 08:00,651,64,587,15.0,1800
ORD0007,SKU002,Mechanical Keyboard,WH001,Hyderabad Central,Hyderabad,2026-05-18 06:00,9,Medium,Yes,9,9,1,Packed,2026-05-18 07:00,2026-05-18 07:50,2026-05-18 08:12,2026-05-18 08:26,86,Dispatched,Ecom Express,2026-05-20 04:00,2026-05-21 04:00,386,63,323,15.01,1801
ORD0008,SKU015,Tablet Stand,WH002,Vijayawada Hub,Vijayawada,2026-03-09 03:00,2,Low,No,1,1,1,Packed,2026-03-09 11:00,2026-03-09 11:24,2026-03-09 11:30,2026-03-09 11:37,37,Dispatched,DTDC,2026-03-12 03:00,2026-03-16 03:00,422,26,396,14.98,1798
ORD0009,SKU014,Laptop Backpack,WH003,Visakhapatnam Hub,Visakhapatnam,2026-01-12 00:00,6,Low,Yes,6,6,2,Packed,2026-01-12 02:00,2026-01-12 02:52,2026-01-12 03:01,2026-01-12 03:23,83,Dispatched,Delhivery,2026-01-12 22:00,2026-01-13 22:00,388,104,284,16.26,1951
ORD0010,SKU014,Laptop Backpack,WH003,Visakhapatnam Hub,Visakhapatnam,2026-05-30 17:00,3,Medium,No,1,1,0,Partial,2026-05-30 21:00,2026-05-30 21:51,2026-05-30 22:03,2026-05-30 22:29,89,Pending,DTDC,,,388,104,284,16.26,1951
ORD0011,SKU002,Mechanical Keyboard,WH003,Visakhapatnam Hub,Visakhapatnam,2026-07-19 17:00,7,Low,No,1,1,0,Partial,2026-07-19 18:00,2026-07-19 18:19,2026-07-19 18:47,2026-07-19 19:21,81,Pending,Ecom Express,,,386,63,323,15.01,1801
ORD0012,SKU006,Bluetooth Headphones,WH004,Chennai South,Chennai,2026-07-25 21:00,12,Low,Yes,12,12,1,Packed,2026-07-26 01:00,2026-07-26 01:37,2026-07-26 01:53,2026-07-26 02:07,67,Dispatched,Ecom Express,2026-07-27 09:00,2026-07-29 09:00,561,87,474,14.86,1783
ORD0013,SKU004,Laptop Stand,WH001,Hyderabad Central,Hyderabad,2026-06-18 06:00,7,Medium,No,6,6,1,Packed,2026-06-18 07:00,2026-06-18 07:15,2026-06-18 07:28,2026-06-18 07:38,38,Dispatched,XpressBees,2026-06-20 08:00,2026-06-25 08:00,437,39,398,15.09,1811
ORD0014,SKU005,Webcam HD,WH001,Hyderabad Central,Hyderabad,2026-01-28 19:00,7,Medium,Yes,7,7,0,Partial,2026-01-28 23:00,2026-01-28 23:24,2026-01-28 23:30,2026-01-28 23:57,57,Pending,Ecom Express,,,486,86,400,15.32,1839
ORD0015,SKU007,Power Bank 20000mAh,WH001,Hyderabad Central,Hyderabad,2026-05-14 17:00,11,Low,No,5,5,1,Partial,2026-05-14 23:00,2026-05-14 23:50,2026-05-14 23:58,2026-05-15 00:26,86,Pending,XpressBees,,,572,93,479,15.69,1883
ORD0016,SKU015,Tablet Stand,WH003,Visakhapatnam Hub,Visakhapatnam,2026-05-10 09:00,11,Medium,Yes,11,11,0,Packed,2026-05-10 14:00,2026-05-10 14:33,2026-05-10 14:55,2026-05-10 15:26,86,Dispatched,Ecom Express,2026-05-11 15:00,2026-05-12 15:00,422,26,396,14.98,1798
ORD0017,SKU005,Webcam HD,WH003,Visakhapatnam Hub,Visakhapatnam,2026-02-23 13:00,10,Medium,Yes,10,10,0,Packed,2026-02-23 18:00,2026-02-23 18:40,2026-02-23 19:06,2026-02-23 19:31,91,Dispatched,Blue Dart,2026-02-24 07:00,2026-03-01 07:00,486,86,400,15.32,1839
ORD0018,SKU006,Bluetooth Headphones,WH001,Hyderabad Central,Hyderabad,2026-07-29 07:00,11,Medium,No,2,2,1,Packed,2026-07-29 14:00,2026-07-29 14:48,2026-07-29 15:11,2026-07-29 15:22,82,Dispatched,Delhivery,2026-08-01 01:00,2026-08-05 01:00,561,87,474,14.86,1783
ORD0019,SKU008,Desk Lamp,WH004,Chennai South,Chennai,2026-03-04 04:00,11,Medium,No,6,6,2,Packed,2026-03-04 06:00,2026-03-04 06:37,2026-03-04 06:46,2026-03-04 07:16,76,Dispatched,Delhivery,2026-03-05 19:00,2026-03-09 19:00,602,65,537,15.39,1847
ORD0020,SKU011,USB Keyboard,WH005,Bengaluru Tech,Bengaluru,2026-05-24 19:00,6,Low,Yes,6,6,2,Packed,2026-05-24 22:00,2026-05-24 22:55,2026-05-24 23:15,2026-05-24 23:34,94,Dispatched,XpressBees,2026-05-27 12:00,2026-05-30 12:00,687,84,603,15.16,1819
ORD0021,SKU013,HDMI Cable,WH002,Vijayawada Hub,Vijayawada,2026-08-04 20:00,5,Low,Yes,5,5,0,Packed,2026-08-05 02:00,2026-08-05 02:28,2026-08-05 02:50,2026-08-05 02:57,57,Dispatched,Blue Dart,2026-08-06 14:00,2026-08-08 14:00,595,83,512,15.44,1853
ORD0022,SKU003,USB-C Hub,WH002,Vijayawada Hub,Vijayawada,2026-04-09 22:00,3,Low,No,1,1,1,Packed,2026-04-09 23:00,2026-04-09 23:44,2026-04-10 00:01,2026-04-10 00:21,81,Dispatched,Ecom Express,2026-04-12 07:00,2026-04-13 07:00,428,80,348,16.44,1973
ORD0023,SKU006,Bluetooth Headphones,WH003,Visakhapatnam Hub,Visakhapatnam,2026-07-12 12:00,7,Medium,No,3,3,0,Packed,2026-07-12 20:00,2026-07-12 20:16,2026-07-12 20:40,2026-07-12 21:02,62,Dispatched,Ecom Express,2026-07-13 17:00,2026-07-14 17:00,561,87,474,14.86,1783
ORD0024,SKU015,Tablet Stand,WH004,Chennai South,Chennai,2026-06-01 18:00,11,Critical,Yes,11,11,0,Packed,2026-06-02 02:00,2026-06-02 02:28,2026-06-02 02:43,2026-06-02 03:12,72,Dispatched,DTDC,2026-06-03 05:00,2026-06-07 05:00,422,26,396,14.98,1798
