Order_ID,SKU,Product_Name,Warehouse_ID,Warehouse_Name,Warehouse_City,Order_Created_At,Order_Quantity,Order_Priority,Inventory_Available,Quantity_Allocated,Quantity_Picked,Damaged_Items,Packing_Status,Picking_Start,Picking_End,Packing_Start,Packing_End,Processing_Time_Minutes,Dispatch_Status,Carrier,Dispatch_At,Estimated_Delivery,Total_Inventory_On_Hand,Total_Reserved,Total_Available,Avg_Daily_Demand_Units,Total_120_Day_Demand
ORD0001,SKU008,Desk Lamp,WH002,Vijayawada Hub,Vijayawada,2026-05-19 04:00:00,12,Low,Yes,12,12,1,Packed,2026-05-19 10:00:00,2026-05-19 10:35:00,2026-05-19 10:53:00,2026-05-19 11:12:00,72,Dispatched,Delhivery,2026-05-21 19:00:00,2026-05-22 19:00:00,602,65,537,15.39,1847
ORD0002,SKU011,USB Keyboard,WH001,Hyderabad Central,Hyderabad,2026-01-16 12:00:00,12,Medium,No,3,3,0,Packed,2026-01-16 16:00:00,2026-01-16 16:12:00,2026-01-16 16:31:00,2026-01-16 17:01:00,61,Dispatched,DTDC,2026-01-19 07:00:00,2026-01-24 07:00:00,687,84,603,15.16,1819
ORD0003,SKU002,Mechanical Keyboard,WH001,Hyderabad Central,Hyderabad,2026-06-16 17:00:00,1,Low,No,0,0,0,Pending,2026-06-16 21:00:00,2026-06-16 21:33:00,2026-06-16 21:39:00,2026-06-16 21:49:00,49,Pending,Ecom Express,,,386,63,323,15.01,1801
ORD0004,SKU007,Power Bank 20000mAh,WH001,Hyderabad Central,Hyderabad,2026-04-10 08:00:00,8,Medium,Yes,8,8,0,Packed,2026-04-10 14:00:00,2026-04-10 14:11:00,2026-04-10 14:17:00,2026-04-10 14:40:00,40,Dispatched,XpressBees,2026-04-10 23:00:00,2026-04-14 23:00:00,572,93,479,15.69,1883
ORD0005,SKU009,Monitor 24 Inch,WH005,Bengaluru Tech,Bengaluru,2026-02-10 01:00:00,9,High,No,1,1,0,Packed,2026-02-10 02:00:00,2026-02-10 02:47:00,2026-02-10 02:54:00,2026-02-10 03:12:00,72,Dispatched,XpressBees,2026-02-11 16:00:00,2026-02-16 16:00:00,486,115,371,15.62,1874
ORD0006,SKU010,External SSD 1TB,WH005,Bengaluru Tech,Bengaluru,2026-03-22 08:00:00,4,Medium,Yes,4,4,2,Packed,2026-03-22 10:00:00,2026-03-22 10:08:00,2026-03-22 10:27:00,2026-03-22 10:51:00,51,Dispatched,Ecom Express,2026-03-24 08:00:00,2026-03-29 08:00:00,651,64,587,15.0,1800
ORD0007,SKU002,Mechanical Keyboard,WH001,Hyderabad Central,Hyderabad,2026-05-18 06:00:00,9,Medium,Yes,9,9,1,Packed,2026-05-18 07:00:00,2026-05-18 07:50:00,2026-05-18 08:12:00,2026-05-18 08:26:00,86,Dispatched,Ecom Express,2026-05-20 04:00:00,2026-05-21 04:00:00,386,63,323,15.01,1801
ORD0008,SKU015,Tablet Stand,WH002,Vijayawada Hub,Vijayawada,2026-03-09 03:00:00,2,Low,No,1,1,1,Packed,2026-03-09 11:00:00,2026-03-09 11:24:00,2026-03-09 11:30:00,2026-03-09 11:37:00,37,Dispatched,DTDC,2026-03-12 03:00:00,2026-03-16 03:00:00,422,26,396,14.98,1798
ORD0009,SKU014,Laptop Backpack,WH003,Visakhapatnam Hub,Visakhapatnam,2026-01-12 00:00:00,6,Low,Yes,6,6,2,Packed,2026-01-12 02:00:00,2026-01-12 02:52:00,2026-01-12 03:01:00,2026-01-12 03:23:00,83,Dispatched,Delhivery,2026-01-12 22:00:00,2026-01-13 22:00:00,388,104,284,16.26,1951
ORD0010,SKU014,Laptop Backpack,WH003,Visakhapatnam Hub,Visakhapatnam,2026-05-30 17:00:00,3,Medium,No,1,1,0,Partial,2026-05-30 21:00:00,2026-05-30 21:51:00,2026-05-30 22:03:00,2026-05-30 22:29:00,89,Pending,DTDC,,,388,104,284,16.26,1951
